data;region;province;latitude;longitude;av_temperature;rel_humidity;precipitation;wind_speed;human_population;new_cases
15/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.5;38.3;0;11.3;1950219;1
22/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;27.9;55.6;0;9.7;1950219;0
29/07/2020;Andalucía;Sevilla;37.3890924;-5.9844589;28.7;51.4;0;11.7;1950219;2
05/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.4;42.1;0;9.3;1950219;9
12/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;24.1;66.3;0;14.5;1950219;19
19/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;29.2;34.6;0;9.1;1950219;12
26/08/2020;Andalucía;Sevilla;37.3890924;-5.9844589;30.2;44.2;0;8.2;1950219;9
26/08/2020;Andalucía;Cádiz;36.5210142;-6.2804565;26.9;70.5;0;10;1244049;1
02/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;25;55.9;0;7.7;1950219;1
02/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;22.8;66.5;0;11.8;1244049;5
09/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;27;43.8;0;8;1950219;2
09/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;25.4;56.6;0;15.9;1244049;5
09/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;23.8;30.2;0;4.4;669943;2
16/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;25;67.7;0;7.6;1950219;1
16/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;23.3;80.6;0.4;8.8;1244049;2
16/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;23.6;54.8;0;6.4;669943;1
23/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;23;68.9;0.1;10.3;1950219;0
23/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;23.3;73.7;0;10.9;1244049;1
23/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;21.5;78.7;0;7.3;669943;2
30/09/2020;Andalucía;Sevilla;37.3890924;-5.9844589;22.5;60.4;0;8.3;1950219;0
30/09/2020;Andalucía;Cádiz;36.5210142;-6.2804565;21.9;68.9;0;8.9;1244049;0
30/09/2020;Extremadura;Badajoz;38.8781352;-6.9704837;20.7;56.6;0;8.2;669943;1
07/10/2020;Andalucía;Sevilla;37.3890924;-5.9844589;23.8;47.2;0;5.6;1950219;0
07/10/2020;Andalucía;Cádiz;36.5210142;-6.2804565;21.4;54.7;0;7.4;1244049;0
07/10/2020;Extremadura;Badajoz;38.8781352;-6.9704837;20.3;58.4;0;4.6;669943;0
14/10/2020;Andalucía;Sevilla;37.3890924;-5.9844589;18.4;45.1;0;8.2;1950219;0
14/10/2020;Andalucía;Cádiz;36.5210142;-6.2804565;18.2;67.7;0;19.8;1244049;0
14/10/2020;Extremadura;Badajoz;38.8781352;-6.9704837;15.2;55.9;0;14.2;669943;0
21/10/2020;Andalucía;Sevilla;37.3890924;-5.9844589;19.8;82.1;14;15.7;1950219;0
21/10/2020;Andalucía;Cádiz;36.5210142;-6.2804565;20.3;82.4;40.1;17.7;1244049;0
21/10/2020;Extremadura;Badajoz;38.8781352;-6.9704837;17.2;83.9;3.4;10.4;669943;0
04/08/2021;Andalucía;Sevilla;37.3890924;-5.9844589;28.3;39;0;12.2;1947852;1
11/08/2021;Andalucía;Sevilla;37.3890924;-5.9844589;29;54.8;0;12.8;1947852;2
18/08/2021;Andalucía;Sevilla;37.3890924;-5.9844589;27.1;60.4;0;14.7;1947852;0
25/08/2021;Andalucía;Sevilla;37.3890924;-5.9844589;26.8;66.5;0;14.8;1947852;2
01/09/2021;Andalucía;Sevilla;37.3890924;-5.9844589;25.3;58.3;0;12.9;1947852;1
08/09/2021;Andalucía;Sevilla;37.3890924;-5.9844589;24.2;61.4;0;14.6;1947852;0
15/09/2021;Andalucía;Sevilla;37.3890924;-5.9844589;22.3;81.6;0;11.9;1947852;0
22/09/2021;Andalucía;Sevilla;37.3890924;-5.9844589;23.6;63.2;0;9.2;1947852;0
29/09/2021;Andalucía;Sevilla;37.3890924;-5.9844589;24.2;52.9;0;8.6;1947852;0
06/10/2021;Andalucía;Sevilla;37.3890924;-5.9844589;22.8;57.3;0;9;1947852;0
13/10/2021;Andalucía;Sevilla;37.3890924;-5.9844589;22.2;67.9;0;8.8;1947852;0
20/10/2021;Andalucía;Sevilla;37.3890924;-5.9844589;22.5;47.6;0;8.4;1947852;0
17/08/2022;Cataluña;Barcelona;41.3873974;2.168568;25.4;75.4;45.9;15.6;5727615;1
24/08/2022;Cataluña;Barcelona;41.3873974;2.168568;26.7;73.5;0;12.7;5727615;0
31/08/2022;Cataluña;Barcelona;41.3873974;2.168568;24.5;74.1;11.6;12.8;5727615;1
07/09/2022;Cataluña;Barcelona;41.3873974;2.168568;25.2;80.5;0;11.3;5727615;0
14/09/2022;Cataluña;Barcelona;41.3873974;2.168568;23.9;80.4;0.1;17.8;5727615;0
21/09/2022;Andalucía;Cádiz;36.5210142;-6.2804565;23;80.5;0;12;1246781;1
21/09/2022;Cataluña;Barcelona;41.3873974;2.168568;21.8;73;0;15.9;5727615;0
28/09/2022;Andalucía;Cádiz;36.5210142;-6.2804565;21.1;78.4;0;18.5;1246781;0
28/09/2022;Cataluña;Barcelona;41.3873974;2.168568;20.8;58.5;0;15.9;5727615;0
05/10/2022;Andalucía;Cádiz;36.5210142;-6.2804565;23.6;62.5;0;16.8;1246781;0
05/10/2022;Cataluña;Barcelona;41.3873974;2.168568;19.9;81;0;13.7;5727615;0
12/10/2022;Andalucía;Cádiz;36.5210142;-6.2804565;21.6;76.5;0;10.5;1246781;0
12/10/2022;Cataluña;Barcelona;41.3873974;2.168568;19.8;79.6;0;13.4;5727615;0
19/10/2022;Andalucía;Cádiz;36.5210142;-6.2804565;22.3;72;0;15.6;1246781;0
19/10/2022;Cataluña;Barcelona;41.3873974;2.168568;21.3;89.6;0;11.3;5727615;0
26/10/2022;Andalucía;Cádiz;36.5210142;-6.2804565;24.1;52.8;0;14.7;1246781;0
26/10/2022;Andalucía;Córdoba;37.8893025;-4.7792753;21.3;57.6;0;8.8;772464;1
26/10/2022;Cataluña;Barcelona;41.3873974;2.168568;20.9;80.1;0;8.1;5727615;0
02/11/2022;Andalucía;Cádiz;36.5210142;-6.2804565;20.4;82.9;0;8.7;1246781;0
02/11/2022;Andalucía;Córdoba;37.8893025;-4.7792753;17.4;64.7;0;5.1;772464;0
02/11/2022;Cataluña;Barcelona;41.3873974;2.168568;18.2;76.7;0;11.7;5727615;0
09/11/2022;Andalucía;Cádiz;36.5210142;-6.2804565;18.9;88.9;10.8;10.3;1246781;0
09/11/2022;Andalucía;Córdoba;37.8893025;-4.7792753;16.7;90.9;6.7;3.6;772464;0
09/11/2022;Cataluña;Barcelona;41.3873974;2.168568;17.4;68.8;23;13.6;5727615;0
26/07/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;27.1;56.9;0;16.1;2656291;1
26/07/2023;Andalucía;Huelva;37.2619585;-6.9427327;24.1;50.2;0;11.3;530824;1
26/07/2023;Cataluña;Barcelona;41.3873974;2.168568;24.7;67.5;0;17.8;5805500;1
02/08/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;30.1;59.5;0;15.3;2656291;0
02/08/2023;Andalucía;Huelva;37.2619585;-6.9427327;29;45.8;0;13.8;530824;0
02/08/2023;Cataluña;Barcelona;41.3873974;2.168568;27.4;75.1;0;19;5805500;0
09/08/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;26.6;71.2;0;11.7;2656291;0
09/08/2023;Andalucía;Huelva;37.2619585;-6.9427327;27;71.8;0;9.7;530824;0
09/08/2023;Cataluña;Barcelona;41.3873974;2.168568;25.3;75;0;15.4;5805500;0
09/08/2023;Extremadura;Badajoz;38.8781352;-6.9704837;29.8;45.6;0;7.6;665089;1
16/08/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;27.2;69.3;0;13.2;2656291;0
16/08/2023;Andalucía;Huelva;37.2619585;-6.9427327;25.5;48.2;0;12.8;530824;0
16/08/2023;Cataluña;Barcelona;41.3873974;2.168568;26.3;72.8;0;16.6;5805500;0
16/08/2023;Extremadura;Badajoz;38.8781352;-6.9704837;24.8;51.2;0;9.6;665089;1
16/08/2023;Andalucía;Sevilla;37.3890924;-5.9844589;26.8;48.3;0;13.2;1957210;1
23/08/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;30;47.3;0;8.9;2656291;0
23/08/2023;Andalucía;Huelva;37.2619585;-6.9427327;30.1;35.8;0;11.4;530824;0
23/08/2023;Cataluña;Barcelona;41.3873974;2.168568;30.2;49.8;0;9.8;5805500;0
23/08/2023;Extremadura;Badajoz;38.8781352;-6.9704837;32.7;27;0;8.3;665089;1
23/08/2023;Andalucía;Sevilla;37.3890924;-5.9844589;32.4;27.8;0;12;1957210;0
30/08/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;23.7;52.1;0;14.5;2656291;0
30/08/2023;Andalucía;Huelva;37.2619585;-6.9427327;25.9;41.6;0;15.4;530824;0
30/08/2023;Cataluña;Barcelona;41.3873974;2.168568;22.4;82.5;3.9;16.9;5805500;0
30/08/2023;Extremadura;Badajoz;38.8781352;-6.9704837;25.6;37.2;0;10.1;665089;0
30/08/2023;Andalucía;Sevilla;37.3890924;-5.9844589;27.5;30.3;0;12;1957210;0
06/09/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;23.9;74.7;0;14.2;2656291;0
06/09/2023;Andalucía;Huelva;37.2619585;-6.9427327;23.4;77.8;0;7.8;530824;0
06/09/2023;Cataluña;Barcelona;41.3873974;2.168568;24.4;70.2;0;14.5;5805500;0
06/09/2023;Extremadura;Badajoz;38.8781352;-6.9704837;24.4;59;0;5.4;665089;0
06/09/2023;Andalucía;Sevilla;37.3890924;-5.9844589;24.1;70;0;8.3;1957210;0
13/09/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;22.8;74.3;0;9.4;2656291;0
13/09/2023;Andalucía;Huelva;37.2619585;-6.9427327;24.6;58;0;10.3;530824;0
13/09/2023;Cataluña;Barcelona;41.3873974;2.168568;24.2;78.9;0;12.4;5805500;0
13/09/2023;Extremadura;Badajoz;38.8781352;-6.9704837;25.1;53.2;0;6.2;665089;3
13/09/2023;Andalucía;Sevilla;37.3890924;-5.9844589;25.4;59.1;0;8.7;1957210;0
13/09/2023;Extremadura;Cáceres;39.4755328;-6.3734664;23.7;56.5;0;8.2;387434;2
13/09/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;22.6;62.4;0;7.1;728496;1
20/09/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;22.3;66;0;14.4;2656291;0
20/09/2023;Andalucía;Huelva;37.2619585;-6.9427327;22;55.5;0;12;530824;0
20/09/2023;Cataluña;Barcelona;41.3873974;2.168568;21.5;87.5;0;15.2;5805500;0
20/09/2023;Extremadura;Badajoz;38.8781352;-6.9704837;21.4;65.3;0;10.5;665089;0
20/09/2023;Andalucía;Sevilla;37.3890924;-5.9844589;22.5;67.4;0;11;1957210;0
20/09/2023;Extremadura;Cáceres;39.4755328;-6.3734664;19.1;62.3;0;10.6;387434;1
20/09/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;20.4;57.2;0;10;728496;0
27/09/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;21.8;74.4;0;12.1;2656291;0
27/09/2023;Andalucía;Huelva;37.2619585;-6.9427327;23.1;58.7;0;8.3;530824;0
27/09/2023;Cataluña;Barcelona;41.3873974;2.168568;21.4;76.1;0;16.8;5805500;0
27/09/2023;Extremadura;Badajoz;38.8781352;-6.9704837;23.7;60.8;0;4.5;665089;2
27/09/2023;Andalucía;Sevilla;37.3890924;-5.9844589;24.3;55.5;0;6.7;1957210;0
27/09/2023;Extremadura;Cáceres;39.4755328;-6.3734664;23.1;53.2;0;8.2;387434;0
27/09/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;23.2;60.7;0;7.4;728496;0
04/10/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;23.2;76.7;0;11.6;2656291;0
04/10/2023;Andalucía;Huelva;37.2619585;-6.9427327;24.4;64.5;0;7.9;530824;0
04/10/2023;Cataluña;Barcelona;41.3873974;2.168568;23.4;74.5;0;14.8;5805500;0
04/10/2023;Extremadura;Badajoz;38.8781352;-6.9704837;25.2;50.4;0;4.8;665089;0
04/10/2023;Andalucía;Sevilla;37.3890924;-5.9844589;25.5;50.2;0;5.9;1957210;0
04/10/2023;Extremadura;Cáceres;39.4755328;-6.3734664;24.5;42.5;0;7.9;387434;1
04/10/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;24.2;59.7;0;7.7;728496;0
11/10/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;20.3;75.5;0;10.1;2656291;0
11/10/2023;Andalucía;Huelva;37.2619585;-6.9427327;22.9;70.7;0;8.5;530824;0
11/10/2023;Cataluña;Barcelona;41.3873974;2.168568;20.6;83.2;0;13;5805500;0
11/10/2023;Extremadura;Badajoz;38.8781352;-6.9704837;22.6;44.3;0;4.3;665089;1
11/10/2023;Andalucía;Sevilla;37.3890924;-5.9844589;23.3;59;0;5.9;1957210;0
11/10/2023;Extremadura;Cáceres;39.4755328;-6.3734664;22.7;37;0;6.8;387434;0
11/10/2023;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;21.6;48.4;0;6;728496;0
18/10/2023;Comunidad Valenciana;Valencia;39.4738338;-0.3756348;23.7;57.1;0;19.4;2656291;0
18/10/2023;Andalucía;Huelva;37.2619585;-6.9427327;22.1;79.3;7.9;16.8;530824;0
18/10/2023;Cataluña;Barcelona;41.3873974;2.168568;22;79.3;0;15;5805500;0
18/10/2023;Extremadura;Badajoz;38.8781352;-6.9704837;19.7;80.4;8.2;9.6;665089;1
